Event,Class,Drw,Ord,Horse,Competitior,S1,T1,S2,T2,S3,T3,FS,NS,DQ,B1,B2,B3,Total,Placing,D,PosD,Division,sts1,sts2,sts3,st1,st2,st3,Unnamed: 29,Dupla
10ª Super Semana do Tambor 2024,Tira Teima,2.0,253.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,2.206,1.278,2.828,1.57,3.404,1.322,4.236,,,X,,,21.844,358.0,19D,1,,6.312,7.802,8.962,3.484,4.398,4.726,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
10ª Super Semana do Tambor 2024,Tira Teima,1.0,312.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,2.025,1.63,2.76,1.499,3.596,1.217,4.24,,,,X,,21.966,,19D,,,6.415,7.855,9.053,3.655,4.259,4.813,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
10ª Super Semana do Tambor 2024,Jovem B,1.0,46.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.938,1.6,2.755,1.566,3.485,1.182,4.253,,,,,,16.78,1.0,1D,1,1º 1D,6.293,7.806,8.92,3.538,4.321,4.667,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
10ª Super Semana do Tambor 2024,Feminino,1.0,54.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.868,1.444,2.794,1.599,3.609,1.245,4.287,,,,X,,21.847,58.0,11D,2,,6.106,8.002,9.141,3.312,4.393,4.854,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
15º GRAND PRIX HARAS RAPHAELA - PROVA DO MILHAO 2024,Tira Teima,1.0,669.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.964,1.416,2.876,1.262,3.917,1.226,4.396,,,,X,,22.056,493.0,20D,1,,6.256,8.055,9.539,3.38,4.138,5.143,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
15º GRAND PRIX HARAS RAPHAELA - PROVA DO MILHAO 2024,Feminino,1.0,149.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.948,1.557,2.802,1.723,3.443,1.487,4.152,,,,,,17.111,24.0,2D,16,,6.307,7.968,9.082,3.505,4.525,4.93,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
15º GRAND PRIX HARAS RAPHAELA - PROVA DO MILHAO 2024,Jovem B,1.0,81.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.982,1.456,2.891,1.716,3.533,1.114,4.363,,,,X,,22.056,56.0,11D,4,,6.329,8.14,9.01,3.438,4.607,4.647,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
1a Etapa - X Copa Rancho Mariana,Tira Teima,2.0,89.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,2.066,1.59,2.861,1.149,3.867,1.144,4.195,,,,,,16.871,11.0,1D,11,,6.517,7.877,9.206,3.656,4.01,5.011,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
1a Etapa - X Copa Rancho Mariana,Tira Teima,1.0,180.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,2.104,1.629,2.765,1.407,3.724,,,,,X,,,21.821,,,,,6.498,7.896,,3.733,4.172,,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
1a Etapa - X Copa Rancho Mariana,Jovem A,1.0,4.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,2.045,1.387,2.875,1.111,3.961,1.37,4.126,,,,,,16.876,1.0,1D,1,,6.307,7.947,9.457,3.432,3.986,5.331,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
1a Etapa da XIII Copa Victory Fly de Tambor FNSL,Tira Teima,1.0,4.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.822,1.624,2.916,1.075,3.922,1.249,4.226,,,,,,16.834,1.0,1D,1,,6.362,7.913,9.397,3.446,3.991,5.171,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
1a Etapa da XIII Copa Victory Fly de Tambor FNSL,Jovem A,1.0,10.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,2.103,1.454,2.736,1.422,3.685,1.58,4,,,,,,16.979,1.0,1D,1,,6.293,7.843,9.265,3.557,4.158,5.265,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
1a PROVA AMIGOS DO VAGUINHO,Tira Teima,2.0,76.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.936,1.706,2.822,1.479,3.787,1.267,4.146,,,,,,17.143,11.0,2D,6,,6.464,8.088,9.2,3.642,4.301,5.054,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
1a PROVA AMIGOS DO VAGUINHO,Tira Teima,1.0,115.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,2.047,1.431,2.819,1.709,3.509,1.186,4.266,,,,X,,21.966,,,,,6.297,8.037,8.961,3.478,4.528,4.695,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
1a PROVA AMIGOS DO VAGUINHO,Jovem A,1.0,7.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,,,,,,1.636,9.689,,X,X,,,30.466,,,,,,,,,,,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
20a Prova de Tambor FNSL,Jovem A,1.0,5.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.764,1.831,2.733,1.529,3.454,1.58,4.186,,,,,,17.078,1.0,1D,1,1º 1D,6.328,7.716,9.22,3.595,4.262,5.034,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
20a Prova de Tambor FNSL,Tira Teima,1.0,9999.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.946,1.637,2.699,1.638,3.563,1.264,4.179,,,,,,16.926,5.0,1D,5,,6.282,7.9,9.006,3.583,4.337,4.827,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
20a Prova de Tambor FNSL,Tira Teima,2.0,9999.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.934,1.491,2.967,1.01,7.279,3.567,19.339,,X,,,,37.585,,,,,6.392,11.256,30.185,3.425,3.977,10.846,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
21ª Prova de Tambor FNSL,GP Victory Fly,1.0,9999.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.948,1.771,2.688,1.509,3.457,1.501,4.196,,,X,,,22.07,110.0,9D,2,,6.407,7.654,9.154,3.719,4.197,4.958,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
21ª Prova de Tambor FNSL,Feminino,1.0,1.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,,,,,,,,,,,,,17.285,2.0,1D,2,,,,,,,,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
21ª Prova de Tambor FNSL,Jovem B,1.0,13.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,2.004,1.747,2.635,1.802,3.314,1.396,4.274,,,,X,,22.172,14.0,7D,1,,6.386,7.751,8.984,3.751,4.437,4.71,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
2a ETAPA - II COPA WRANGLER HARAS NSG 2022,Jovem A,1.0,8.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.78,1.931,2.723,1.424,3.759,1.359,4.206,,,,,,17.183,1.0,1D,1,1º 1D,6.434,7.906,9.324,3.711,4.147,5.118,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
2a ETAPA - II COPA WRANGLER HARAS NSG 2022,Junior Principiante,1.0,4.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.912,2.144,2.585,1.975,3.626,1.271,4.077,,,,,,17.589,5.0,1D,5,,6.641,8.186,8.974,4.056,4.56,4.897,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
2a ETAPA - II COPA WRANGLER HARAS NSG 2022,Final Mirim,1.0,5.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.939,1.724,2.749,1.323,3.725,1.272,4.242,,,,,,16.973,1.0,1D,1,,6.412,7.797,9.239,3.663,4.072,4.997,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
2a Etapa XXVI Campeonato NBQM - Bauru-SP,Open NBQM,2.0,119.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,2.131,1.388,2.916,1.188,3.823,1.31,4.213,,,,,,16.969,14.0,2D,1,1º 2D,6.435,7.927,9.346,3.519,4.104,5.133,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
2a Etapa XXVI Campeonato NBQM - Bauru-SP,Open NBQM,1.0,180.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,2.11,1.446,2.807,1.318,4.004,1.368,4.13,,,,X,,22.183,,,,,6.363,8.129,9.502,3.556,4.125,5.372,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
2a Etapa XXVI Campeonato NBQM - Bauru-SP,Jovem A,1.0,3.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,2.189,1.135,2.982,1.292,3.823,1.217,4.109,,,,,,16.746,1.0,1D,1,1º 1D,6.306,8.097,9.149,3.324,4.274,5.04,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
2o Mega Show Rancho Mariana - 2022,Principiante A,1.0,3.0,MARI TA FAME HSC,MARIA EDUARDA DUARTE,1.773,1.964,2.645,1.468,3.58,1.163,4.166,,,,,,16.759,1.0,1D,1,,6.382,7.693,8.909,3.737,4.113,4.743,,MARI TA FAME HSC - MARIA EDUARDA DUARTE
