Horse,Competitior,Tempo_Previsto,cavalo_mean,competidor_mean,expected_mean,Class
ROCK FORTUNES,ALBERTUS DE BOER NETO,17.973685113864008,18.921714285714284,18.86188888888889,18.891801587301586,Amador Light
SLYDUN CATH,ALINE SARDETTE MENEZES,18.00830713803785,18.185588235294116,19.222037037037037,18.703812636165576,Amador Principiante
R3M URUGUAY CHICK,ALBERTUS DE BOER NETO,18.01943614163833,18.932044444444443,18.86188888888889,18.896966666666664,Amador Light
SLYDUN CATH,ANDERSON CARREIRA,18.06463261999611,18.185588235294116,18.98918534863195,18.587386791963034,Tira Teima
SLYDUN CATH,AIRTON WANDER DE SOUZA JUNIOR,18.069169725009637,18.185588235294116,19.430788235294116,18.808188235294118,Principiante C
SLICK FAME R7E,ALBERTUS DE BOER NETO,18.0955680018705,19.156000000000002,18.86188888888889,19.008944444444445,Amador Light
AKANI HOLLAND,ALBERTUS DE BOER NETO,18.118230450303756,19.233375,18.86188888888889,19.047631944444444,Amador Light
SLYDUN CATH,ANA HELENA CURY AGNELLI,18.12245545540122,18.185588235294116,19.20487323943662,18.695230737365367,Tira Teima
IBIZA STAR ZZ,ALBERTUS DE BOER NETO,18.1651581782804,19.352830985915492,18.86188888888889,19.10735993740219,Amador Light
WINNER,ALBERTUS DE BOER NETO,18.175364763694503,19.623142857142856,18.86188888888889,19.242515873015872,Amador Light
SLYDUN CATH,ANA CRISTINA ZILLO,18.190211249749527,18.185588235294116,19.35972131147541,18.772654773384765,Tira Teima
BLACK CAT LIDER,ALBERTUS DE BOER NETO,18.194795908000483,19.3083,18.86188888888889,19.085094444444444,Amador Light
SLYDUN CATH,AUGUSTO LOPES,18.241842610367993,18.185588235294116,19.514144144144147,18.84986618971913,Tira Teima
FURACAO THE FAME PAR,ALBERTUS DE BOER NETO,18.27468600312588,19.530583333333333,18.86188888888889,19.196236111111112,Amador Light
SLYDUN CATH,ANA LUIZA DA SILVA,18.366741228794602,18.185588235294116,20.434354838709677,19.309971537001896,Amador Light
SLYDUN CATH,AYUMI TANIGUCHI,18.377873991245252,18.185588235294116,19.699,18.94229411764706,Tira Teima
ROCK FORTUNES,ALINE SARDETTE MENEZES,18.4357976799504,18.921714285714284,19.222037037037037,19.07187566137566,Amador Principiante
SLYDUN CATH,AGATHA CHRISTAL RUIZ PEREIRA,18.47390057808394,18.185588235294116,20.2122,19.198894117647058,Amador
R3M URUGUAY CHICK,ALINE SARDETTE MENEZES,18.481548707724727,18.932044444444443,19.222037037037037,19.077040740740742,Amador Principiante
SLYDUN CATH,BRUNA NANZER SOUZA,18.491842061194728,18.185588235294116,20.0746875,19.130137867647058,Amador Principiante
